,O*NET-SOC Code,Title,Example,Commodity Code,Commodity Title,Hot Technology
6858,15-1231.00,Computer Network Support Specialists,SolarWinds,43233206,Cloud-based protection or security software,N
7035,15-1232.00,Computer User Support Specialists,Microsoft Visio,43231518,Process mapping and design software,Y
7108,15-1232.00,Computer User Support Specialists,SolarWinds,43233206,Cloud-based protection or security software,N
7229,15-1241.00,Computer Network Architects,ESRI ArcGIS software,43232510,Geographic information system,Y
7293,15-1241.00,Computer Network Architects,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
7296,15-1241.00,Computer Network Architects,Microsoft Visio,43231518,Process mapping and design software,Y
7384,15-1241.00,Computer Network Architects,SolarWinds,43233206,Cloud-based protection or security software,N
7450,15-1241.01,Telecommunications Engineering Specialists,Microsoft Visio,43231518,Process mapping and design software,Y
7636,15-1242.00,Database Administrators,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
7726,15-1242.00,Database Administrators,SolarWinds,43233206,Cloud-based protection or security software,N
8040,15-1243.00,Database Architects,SolarWinds,43233206,Cloud-based protection or security software,N
8113,15-1243.01,Data Warehousing Specialists,ESRI ArcGIS software,43232510,Geographic information system,Y
8146,15-1243.01,Data Warehousing Specialists,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
8150,15-1243.01,Data Warehousing Specialists,Microsoft Visio,43231518,Process mapping and design software,Y
8365,15-1244.00,Network and Computer Systems Administrators,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
8370,15-1244.00,Network and Computer Systems Administrators,Microsoft Visio,43231518,Process mapping and design software,Y
8463,15-1244.00,Network and Computer Systems Administrators,SolarWinds,43233206,Cloud-based protection or security software,N
8471,15-1244.00,Network and Computer Systems Administrators,Symantec Ghost Solution Suite,43233007,Computer imaging software,N
8663,15-1251.00,Computer Programmers,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
8669,15-1251.00,Computer Programmers,Microsoft Visio,43231518,Process mapping and design software,Y
9013,15-1252.00,Software Developers,Microsoft Visio,43231518,Process mapping and design software,Y
9419,15-1253.00,Software Quality Assurance Analysts and Testers,Microsoft Visio,43231518,Process mapping and design software,Y
9739,15-1254.00,Web Developers,Microsoft Visio,43231518,Process mapping and design software,Y
9965,15-1255.00,Web and Digital Interface Designers,Microsoft Visio,43231518,Process mapping and design software,Y
10090,15-1255.01,Video Game Designers,Microsoft Visio,43231518,Process mapping and design software,Y
10150,15-1299.01,Web Administrators,IBM WebSphere,43232806,Cloud-based management software,Y
10174,15-1299.01,Web Administrators,Microsoft Visio,43231518,Process mapping and design software,Y
10255,15-1299.02,Geographic Information Systems Technologists and Technicians,IBM WebSphere,43232806,Cloud-based management software,Y
10270,15-1299.02,Geographic Information Systems Technologists and Technicians,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
10272,15-1299.02,Geographic Information Systems Technologists and Technicians,Microsoft Visio,43231518,Process mapping and design software,Y
10351,15-1299.03,Document Management Specialists,IBM WebSphere MQ,43232806,Cloud-based management software,N
10362,15-1299.03,Document Management Specialists,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
10364,15-1299.03,Document Management Specialists,Microsoft Visio,43231518,Process mapping and design software,Y
10562,15-1299.08,Computer Systems Engineers/Architects,Microsoft Visio,43231518,Process mapping and design software,Y
10856,15-1299.09,Information Technology Project Managers,Microsoft Visio,43231518,Process mapping and design software,Y
11012,15-2011.00,Actuaries,Microsoft Visio,43231518,Process mapping and design software,Y
11164,15-2031.00,Operations Research Analysts,iGrafx,43232620,Risk management data and analysis software,N
11221,15-2031.00,Operations Research Analysts,Splunk Enterprise,43232806,Cloud-based management software,Y
11466,15-2051.01,Business Intelligence Analysts,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
11470,15-2051.01,Business Intelligence Analysts,Microsoft Visio,43231518,Process mapping and design software,Y
11575,15-2051.02,Clinical Data Managers,Microsoft Visio,43231518,Process mapping and design software,Y
11628,15-2099.01,Bioinformatics Technicians,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
11630,15-2099.01,Bioinformatics Technicians,Microsoft Visio,43231518,Process mapping and design software,Y
11683,17-1011.00,"Architects, Except Landscape and Naval",ESRI ArcGIS software,43232510,Geographic information system,Y
11734,17-1012.00,Landscape Architects,ESRI ArcGIS software,43232510,Geographic information system,Y
11796,17-1021.00,Cartographers and Photogrammetrists,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
11953,17-2011.00,Aerospace Engineers,Microsoft Visio,43231518,Process mapping and design software,Y
